"metadataMap.Author.keyword: Descending",Count
"Wyneken, Gustav",4
"Wünsche, Otto",4
"Zezschwitz, Karl Adolf Gerhard von",4
"Zimmern, Heinrich",4
"Adamkiewicz, Albert",3
"Alard, Wilhelm",3
"Arndt, Rudolf",3
"Arnold, Carl",3
"Arrhenius, Svante",3
"Baehrens, Wilhelm Adolf",3
"Bahr, Hermann",3
"Balduin, Friedrich",3
"Barthel, Max",3
"Battus, Bartholomäus",3
"Beaux, Theodor de",3
"Behring, Emil von",3
"Berkeley, George",3
"Bertling, Oskar",3
"Biltz, Heinrich",3
"Biscan, Wilhelm",3
"Blücher, Hans",3
"Blüher, Hans",3
"Bock, Carl Ernst",3
"Brentano, Franz",3
"Büchner, Ludwig",3
"Calov, Abraham",3
"Coler, Johann",3
"Conrad, Michael Georg",3
"Crell, Johann",3
"Dittes, Friedrich",3
"Donauer, Christoph Sigmund",3
"Dornblüth, Otto",3
"Dreydorff, Johann Georg",3
"Dreyer, Max",3
"Driesch, Hans",3
"Drobisch, Moritz Wilhelm",3
"Drude, Paul",3
"Ebert, Hermann",3
"Eheberg, Karl Theodor von",3
"Eisler, Rudolf",3
"Emsmann, August Hugo",3
"Erdmann, Bernhard Arthur",3
"Ernst, Otto",3
"Eusebius, Caesariensis",3
"Fabricius, Jacob",3
"Ferdinand, Köln",3
"Ficker, Johannes",3
"Findeisen, C. F.",3
"Flach, Hans",3
"Flügge, Carl",3
"Francisci, Erasmus",3
"Frank, Franz Hermann Reinhold von",3
"Frentzel, Johann",3
"Frey, Heinrich",3
"Fröreisen, Isaac",3
"Gerber, Carl Friedrich Wilhelm von",3
"Gerhard, Andreas",3
"Giessler, Carl Max",3
"Gilm, Hermann von",3
"Goethe, Johann Wolfgang von",3
"Goette, Alexander",3
"Gogarten, Friedrich",3
"Goldschmidt, Henriette",3
"Gundelfinger, Sigmund",3
"Guyau, Jean-Marie",3
"Haberlandt, Michael",3
"Hardt, Ernst",3
"Hardy, Edmund",3
"Hartung, Bruno",3
"Hassert, Kurt",3
"Hauptmann, Carl",3
"Hauser, Otto",3
"Hausrath, Adolf",3
"Heermann, Ephraim",3
"Hellwig, Konrad",3
"Henne am Rhyn, Otto",3
"Herlitz, David",3
"Hesse, Ludwig Otto",3
"Hilscher, Balthasar",3
"Hirzel, Rudolf",3
"Hoffmann, Hans",3
"Huch, Rudolf",3
"Humboldt, Wilhelm von",3
"Hunnich, Christoph [PNDNR:104375299] [GNDNR:104375299]",3
"Hutter, Leonhard",3
"Huxley, Thomas Henry",3
"Hülsemann, Johann",3
"Jacobi, Christian",3
"Jenisch, Paul",3
"Johann Georg II., Sachsen",3
"Jordan, Wilhelm",3
"Klein, Josef",3
"Kloss, Moritz",3
"Koenigsberger, Leo",3
"Koldewey, Robert",3
"Kraepelin, Emil",3
"Kraepelin, Karl",3
"Krehl, Stephan",3
"Kretzschmar, Ferdinand",3
"Kuhlenbeck, Ludwig",3
"Kutter, Hermann",3
"Lang, Matthias Sebastian",3
"Lecher, Ernst",3
"Leichner, Eckard",3
"Lipsius, Justus",3
"Lodge, Oliver",3
"Lorentz, Hendrik A.",3
"Lubbock, John",3
"Lüben, August",3
"Mahler, Gottfried",3
"Mataja, Victor",3
"Meinong, Alexius",3
"Meltzer, Moritz",3
"Mencke, Otto",3
"Meniński, Franciszek a Mesgnien",3
"Messerschmidt, Heinrich Leopold Benno",3
"Meyer, Ernst Julius",3
"Meyer, Hans",3
"Meyer, Lothar",3
"Michaelis, Johann",3
"Mirbt, Carl",3
"Mislenta, Coelestinus",3
"Mosellanus, Petrus",3
"Mühlberger, Johann Joachim",3
"Müller, Albert",3
"Mülmann, Johann",3
"Nordau, Max",3
"Obst, Georg",3
"Odermann, Karl Gustav",3
"Oppel, Alwin",3
"Oppenheimer, Carl",3
"Paquet, Alfons",3
"Parisio, Flaminio",3
"Pater, Walter",3
"Pelargus, Christoph",3
"Perkins, William",3
"Perty, Maximilian",3
"Peschel, Oscar",3
"Pesl, Ludwig Daniel",3
"Petermann, Andreas",3
"Petsch, Robert",3
"Philippi, Friedrich",3
"Plaut, Hugo Carl",3
Plutarchus,3
"Pontanus, Jacobus",3
"Potthoff, Heinz",3
"Quenstedt, Johann Andreas",3
"Ramsay, William",3
"Ramus, Petrus",3
"Rappolt, Friedrich",3
"Raydt, Hermann",3
"Rechenberg, Adam",3
"Redlich, Josef",3
"Resch, Alfred",3
"Rhegius, Urbanus",3
"Richter, Johann [PNDNR:122773721] [GNDNR:122773721]",3
"Ritter, August",3
"Rodigast, Samuel",3
"Rohland, Woldemar von",3
"Rühlmann, Moritz",3
"Saltzmann, Johann Rudolph",3
"Schaukal, Richard von",3
"Schech, Philipp",3
"Schell, Wilhelm",3
"Schelling, Friedrich Wilhelm Joseph von",3
"Schlaf, Johannes",3
"Schlossmann, Siegmund",3
"Schmid, Bastian",3
"Schmuck, Wilhelm",3
"Schröter, Johann Heinrich",3
"Schultz, Jacob",3
"Schwarz, Hermann",3
"Schürmayer, Bruno",3
"Seeberg, Alfred",3
"Seneca, Lucius Annaeus",3
"Settegast, Franz",3
"Siecke, Ernst",3
"Soltau, Wilhelm",3
"Sommer, Johann Leonhard",3
"Spitz, Carl",3
"Stammler, Rudolf",3
"Stange, Carl",3
"Stirner, Max",3
"Strasburg, Jakob [PNDNR:119841274] [GNDNR:119841274]",3
"Störring, Gustav",3
"Suárez, Francisco",3
"Thieme, Karl",3
"Thomasius, Christian",3
"Thomson, Joseph J.",3
"Ursinus, Leonhard",3
"Volck, Gabriel",3
"Wach, Adolf",3
"Walcker, Karl",3
"Weber, Max Maria von",3
"Wedekind, Edgar",3
"Wedel, Georg Wolfgang",3
"Weise, Christian",3
"Wien, Wilhelm",3
"Willich, Jodocus",3
"Winckelmann, Johannes",3
"Windscheid, Bernhard",3
"Wittstock, Albert",3
"Wächter, Carl Georg von",3
"Zimmermann, Matthias",3
"Zorn, Philipp",3
"Zöllner, Johann Karl Friedrich",3
"Zürn, Friedrich Anton",3
"Ćorović, Vladimir",3
"Aars, Kristian Birch-Reichenwald",2
"Adam, Wilhelm",2
"Adolph, Paul",2
Aeschylus,2
"Agricola, Georg",2
"Alberus, Erasmus",2
"Althaus, Paul",2
"Andrae, Walter",2
"Arendt, Otto",2
Aristophanes,2
"Arndt, Friedrich",2
"Arndt, Johann",2
"Arnold, Carl Franklin",2
"Arnoldi, Philipp",2
"Atmanspacher, Otto",2
"Auerbach, Felix",2
"Aufrecht, Emanuel",2
"August, Sachsen",2
"Auspitz, Rudolf",2
"Bachmann, Paul",2
"Bakius, Reinhard",2
"Baltzer, Richard",2
"Baron, Julius",2
"Bartholin, Thomas",2
"Bassermann, Heinrich",2
"Bauer, Adolf",2
"Bauer, Max",2
"Baur, Gustav",2
"Bayer, Josef",2
"Bechterev, Vladimir Michailovič",2
"Beda, Venerabilis",2
"Beeger, Julius",2
"Behemb, Martin",2
"Beilstein, Friedrich Konrad",2
"Bekker, Ernst Immanuel",2
"Bergemann, Paul",2
"Berger, Friedrich",2
"Berger, Johann",2
"Berghoff-Ising, Franz",2
"Bergmann, Ernst",2
"Bernoulli, Jakob",2
"Berthelt, Friedrich A.",2
"Besenius, Johann Georg",2
"Binder, Julius",2
"Birch-Hirschfeld, Felix V.",2
"Birnbaum, Karl",2
"Bissing, Friedrich Wilhelm von",2
"Bloch, Leo",2
"Blochmann, Reinhart",2
"Blum, Hans",2
"Boehmer, Julius",2
"Boesch, Hans",2
"Bohm, J.",2
"Bohnert, Felix",2
"Bonhoff, Carl",2
"Borinski, Karl",2
"Borkowsky, Ernst",2
"Boshart, August",2
"Botsack, Johann",2
"Brathuhn, Otto",2
"Brauns, Reinhard",2
"Braß, Arnold",2
"Brehme, Christian",2
"Breme, David",2
"Brentano, Lujo",2
"Brenz, Johannes",2
"Brink, Bernhard ten",2
"Brinkmann, Carl",2
"Brockmann, Franz Joseph",2
"Bruchmüller, Wilhelm",2
"Bruhns, Wilhelm",2
"Brunhuber, Robert",2
"Brunner, Karl",2
"Brunnhofer, Hermann",2
"Bruno, Giordano",2
"Bräuer, Paul",2
"Brückner, Benno Bruno",2
"Bucherer, Alfred Heinrich",2
"Buchheim, Rudolf",2
"Bullinger, Heinrich",2
"Buno, Johannes",2
"Buxtorf, Johann",2
"Bödiker, Tonio",2
"Böhmer, Heinrich",2
"Bötticher, Gotthold",2
"Bünting, Heinrich",2
"Calixt, Georg",2
"Campagnolle, Roger de",2
"Candolle, Alphonse de",2
"Cantor, Moritz",2
"Carion, Johannes",2
"Cauer, Paul",2
"Cesàro, Ernesto",2
"Christen, Martin [PNDNR:125845227] [GNDNR:125845227]",2
"Chytraeus, David",2
"Chyträus, David",2
"Claius, Christianus",2
"Claus, Carl",2
"Clifford, William Kingdon",2
"Clinge, Franz [PNDNR:12468937X] [GNDNR:12468937X]",2
"Cohn, Emil",2
"Cohn, Gustav",2
"Cohn, Jonas",2
"Conrat, Max",2
"Conring, Hermann",2
"Contzen, Heinrich",2
"Cornelius, Hans",2
"Cotta, Heinrich",2
"Cramer, Daniel",2
"Cramer, Franz",2
"Crookes, William",2
"Crusius, Gottlob Christian",2
"Crüger, Johann",2
"Csokor, Johann",2
"Czarnkow, Johannes Paulus de",2
"Dahlmann, Friedrich Christoph",2
"Davis, Andrew Jackson",2
"Deegener, Paul",2
"Delitzsch, Franz",2
Demosthenes,2
"Dessoir, Max",2
"Deutschmann, Johann",2
"Diez, Friedrich Christian",2
"Dillmann, August",2
"Dilthey, Wilhelm",2
"Dove, Alfred",2
"Dressler, Johann Gottlieb",2
"Drews, Arthur",2
"Drummond, Henry",2
"Du Jon, François",2
"Duhem, Pierre Maurice Marie",2
"Duncker, Maximilian Wolfgang",2
"Dörffel, Friedrich",2
"Düntzer, Heinrich",2
"Dürr, Ernst",2
"Dürr, Johann",2
"Eck, Johannes",2
"Eckstein, Karl",2
"Eichhoff, Peter Josef",2
"Eisenberg, James",2
"Eitzen, F. W.",2
"Elbs, Karl",2
"Elsner, Fritz",2
"Endemann, Wilhelm",2
Epictetus,2
"Epiphanius, Constantiensis",2
"Erbt, Wilhelm",2
"Erdmann, Benno",2
"Erdmann, Otto Linné",2
"Ertl, Emil",2
"Eulenburg, Franz",2
"Faber, Zachaeus",2
"Falke, J. E. L.",2
"Fastenrath, Johannes",2
"Fechner, Gustav Theodor",2
"Fetter, Michael",2
"Fichte, Johann Gottlieb",2
"Finckelthaus, Sigismund",2
"Fischer, Aloys",2
"Fischer, Ferdinand",2
"Fischer, Hermann",2
"Fischer, Theobald",2
"Fitger, Arthur",2
"Flechsig, Paul Emil",2
"Fleming, Paul",2
"Flinzer, Fedor",2
"Fournier, August",2
"Franck von Franckenau, Georg",2
"Franke, Otto",2
"Freimark, Hans",2
"Frenzel, Otto",2
"Freund, Richard",2
"Freyberger, Hans",2
"Fried, Alfred Hermann",2
"Friedberg, Emil",2
"Friedmann, Alfred",2
"Friedrich Wilhelm, Brandenburg",2
"Friedrich, Ernst",2
"Frischauf, Johannes",2
"Fritz, Hermann",2
"Fuhrmann, Manfred",2
"Funcke, Christian David",2
"Förster, Johann",2
"Gedik, Simon",2
"Geffcken, Heinrich",2
"Geibel, Emanuel",2
"Geißler, Max",2
"Georgi, Otto Robert",2
"Gerding, Theodor",2
"Gerhardt, Dietrich",2
"Gerland, Ernst",2
"Gilbert, Otto",2
"Girgensohn, Karl",2
"Gobineau, Arthur de",2
"Goclenius, Rudolph",2
"Goetz, Karl Gerold",2
"Goldschmidt, Julius",2
"Goltz, Johann Georg [PNDNR:130204722] [GNDNR:130204722]",2
"Gottweis, Wilhelm",2
"Gowers, William R.",2
"Graebner, Paul",2
"Gramberg, Eugen",2
"Grautoff, Ferdinand",2
"Greif, Martin",2
"Greinacher, Heinrich",2
"Gross, Gustav",2
"Gross, Otto",2
"Grossmann, Marcel",2
"Groß, Christian",2
"Gruber, Erasmus",2
"Gruner, Carl Ernst",2
"Grunsky, Karl",2
"Gruntzel, Josef",2
"Gräfe, Heinrich",2
"Grünberg, Viktor",2
"Gutzmann, Hermann",2
"Gutzmer, August",2
"Göhre, Paul",2
"Götze, Woldemar",2
"Günther, Siegmund",2
"Haacke, Wilhelm",2
"Haas, Hans",2
"Hahn, Carl H. von",2
"Hajek, Markus",2
"Hamm, Wilhelm",2
"Hammurapi, Babylonien",2
"Hampe, Theodor",2
"Harbart, Burchardus",2
"Harms, Friedrich",2
"Harnack, Otto",2
"Hart, Julius",2
"Hartmann, Karl Otto",2
"Hass, Martin",2
"Hebenstreit, Julius",2
"Heermann, Johann",2
"Hegel, Georg Wilhelm Friedrich",2
"Hehn, Johannes",2
"Heimann, Eduard",2
"Helbig, Wolfgang",2
"Heller, Theodor",2
"Helmbold, Ludwig",2
"Helwig, Christoph",2
"Hempel, Carl Friedrich",2
"Herberger, Valerius",2
"Herder, Johann Gottfried von",2
"Hermann, Michael",2
"Herz, Norbert",2
"Herzog, Rudolf",2
"Hessenberg, Gerhard",2
"Heubner, Otto",2
"Heusler, Andreas",2
"Heyden, Sebald",2
"Heyne, Alexander",2
"Heß, Wilhelm Carl Friedrich",2
"Hilbert, Gerhard",2
"Hilprecht, Hermann V.",2
"Hinrichsen, Friedrich Willy",2
"Hirsch, Paul",2
"Hirschlaff, Leo",2
"Hoevelen, Conrad von",2
"Hoff, Jacobus H. van't",2
"Hoffmann, Caspar [GNDNR:1135422303]",2
"Hoffmann, Georg",2
"Hoffmann, Hermann von",2
"Hoffmann, Wilhelm",2
"Holl, Karl",2
"Holtzmann, Friedrich",2
"Hommel, Fritz",2
"Hoppe, Edmund",2
"Horn, Jakob",2
"Hunnius, Helfrich Ulrich",2
"Hunzinger, August Wilhelm",2
"Höpner, Paul",2
"Hüsing, Georg",2
"Ianus, Pannonius",2
"Iuvenalis, Decimus Iunius",2
"Jahn, Max",2
"Jantzen, Hermann",2
"Januschke, Hans",2
"Jean Paul",2
"Jellinek, Georg",2
"Jerome, Jerome K.",2
"Jhering, Rudolf von",2
"Johann Georg I., Sachsen",2
"Johann Georg IV., Sachsen",2
"Joseph, Max",2
"Jüptner von Jonstorff, Hans",2
"Jütting, Wübbe Ulrichs",2
"Kaemmel, Otto",2
"Kaestner, Sándor",2
"Kahnis, Heinrich",2
"Kaposi, Moriz",2
"Kaufmann, Erich",2
"Kawraisky, Theodor von",2
"Kegel, Philipp",2
"Kentzelmann, Christian [GNDNR:107003763X]",2
"Kessler, Gerhard",2
"Kirchbach, Wolfgang",2
"Kirchhoff, Theodor",2
"Kirchmaier, Georg Caspar",2
"Kirchmann, Johann",2
"Kirchschlag, Petrus [PNDNR:102828652] [GNDNR:102828652]",2
"Kirn, Otto",2
"Kittel, Gerhard",2
"Kittel, Rudolf",2
"Klein, Felix",2
"Kleinert, Hugo Wilhelm Paul",2
"Klemm, Christian",2
"Knop, Wilhelm",2
"Koch, Johann Georg",2
"Koch, Max",2
"Kockel, Richard",2
