"metadataMap.Author.keyword: Descending",Count
"Schmitz-Dumont, Oskar",2
"Schmoll, Matthäus",2
"Schneidemühl, Georg",2
"Schneider, Gottfried",2
"Schneider, Hermann",2
"Schneitler, Carl Friedrich",2
"Schneitler, Carl Friedrich [GNDNR:1055102612]",2
"Schoeler, Heinrich von",2
"Scholz, Heinrich",2
"Schomerus, Hilko Wiardo",2
"Schorn, August",2
"Schramm, Albert",2
"Schraut, Max von",2
"Schreber, Daniel Gottlob Moritz",2
"Schreber, Karl",2
"Schroeder, Leopold von",2
"Schroeter, Heinrich Eduard",2
"Schröer, Friedrich",2
"Schubert-Soldern, Richard von",2
"Schueler, Gustav",2
"Schulte, Fritz",2
"Schultes, Jacob",2
"Schultze, Fritz",2
"Schulze, Martin",2
"Schulze-Gävernitz, Gerhart von",2
"Schur, Friedrich",2
"Schwartze, Theodor",2
"Schwenckfeld, Caspar",2
"Schwendendörffer, Bartholomäus Leonhard",2
"Schwering, Karl",2
"Schwimmer, Ernst Ludwig",2
"Schäfer, Dietrich",2
"Schär, Johann Friedrich",2
"Schönfeld, Gregor",2
"Schütze, Friedrich Wilhelm",2
"Scriver, Christian",2
"Sederholm, Karl",2
"Sehling, Emil",2
"Seybold, Johann Georg",2
